Model name,Features,Best score,Train score,Test score,Sensitivity,Specificity,Precision,Accuracy,F1-score
knn3,"temperature, humidity, light, humidity_ratio",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn4,"temperature, humidity, humidity_ratio",0.954,0.9691,0.9528,0.8857,0.9708,0.8904,0.9528,0.8881
knn5,"temperature, humidity",0.9537,0.9686,0.9535,0.8825,0.9725,0.8958,0.9535,0.8891
knn6,"temperature, light",0.9908,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn7,"humidity, light",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn8,"light, humidity_ratio",0.9907,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn9,"temperature, co2",0.9051,0.9459,0.9133,0.7799,0.949,0.8037,0.9133,0.7916
knn10,"light, co2",0.9905,0.9915,0.9924,0.9947,0.9918,0.9701,0.9924,0.9822
knn11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9909,0.9946,0.9926,0.9894,0.9935,0.976,0.9926,0.9827
knn12,"temperature, humidity, light, co2, weekday",0.9909,0.9946,0.9926,0.9894,0.9935,0.976,0.9926,0.9827
knn13,"temperature, humidity, co2, humidity_ratio, weekday",0.9313,0.9668,0.9401,0.8635,0.9606,0.8545,0.9401,0.8589
knn14,"temperature, humidity, light, humidity_ratio, weekday",0.9908,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn15,"temperature, humidity, humidity_ratio, weekday",0.9631,0.9748,0.9611,0.9101,0.9748,0.9062,0.9611,0.9081
knn16,"temperature, humidity, weekday",0.9627,0.9745,0.9631,0.9132,0.9765,0.9123,0.9631,0.9127
knn17,"temperature, light, weekday",0.9908,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn18,"humidity, light, weekday",0.9908,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn19,"light, humidity_ratio, weekday",0.9907,0.9907,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
knn20,"temperature, co2, weekday",0.9092,0.9361,0.9151,0.7884,0.949,0.8054,0.9151,0.7968
knn21,"light, co2, weekday",0.9905,0.9925,0.9924,0.9915,0.9926,0.973,0.9924,0.9822
svc0,"temperature, humidity, light, co2, humidity_ratio",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
svc1,"temperature, humidity, light, co2",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
svc2,"temperature, humidity, co2, humidity_ratio",0.935,0.9542,0.9405,0.8423,0.9668,0.8719,0.9405,0.8568
svc3,"temperature, humidity, light, humidity_ratio",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc4,"temperature, humidity, humidity_ratio",0.9338,0.9377,0.9347,0.8677,0.9527,0.8308,0.9347,0.8489
svc5,"temperature, humidity",0.9338,0.9377,0.9347,0.8677,0.9527,0.8308,0.9347,0.8489
svc6,"temperature, light",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc7,"humidity, light",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc8,"light, humidity_ratio",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc9,"temperature, co2",0.9205,0.9297,0.9278,0.8095,0.9595,0.8425,0.9278,0.8257
svc10,"light, co2",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
svc11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
svc12,"temperature, humidity, light, co2, weekday",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
svc13,"temperature, humidity, co2, humidity_ratio, weekday",0.9361,0.9567,0.941,0.854,0.9643,0.865,0.941,0.8594
svc14,"temperature, humidity, light, humidity_ratio, weekday",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc15,"temperature, humidity, humidity_ratio, weekday",0.9477,0.9521,0.9502,0.8974,0.9643,0.8706,0.9502,0.8838
svc16,"temperature, humidity, weekday",0.9477,0.9521,0.9502,0.8974,0.9643,0.8706,0.9502,0.8838
svc17,"temperature, light, weekday",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc18,"humidity, light, weekday",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc19,"light, humidity_ratio, weekday",0.9908,0.9908,0.9911,0.9915,0.9909,0.967,0.9911,0.9791
svc20,"temperature, co2, weekday",0.925,0.9334,0.9307,0.8529,0.9515,0.825,0.9307,0.8387
svc21,"light, co2, weekday",0.9903,0.9914,0.9913,0.9947,0.9904,0.9651,0.9913,0.9797
ada0,"temperature, humidity, light, co2, humidity_ratio",0.9911,0.9912,0.992,0.9905,0.9923,0.972,0.992,0.9811
ada1,"temperature, humidity, light, co2",0.9907,0.9908,0.9913,0.9915,0.9912,0.968,0.9913,0.9796
ada2,"temperature, humidity, co2, humidity_ratio",0.9119,0.9112,0.9117,0.7365,0.9586,0.8266,0.9117,0.779
ada3,"temperature, humidity, light, humidity_ratio",0.9908,0.9908,0.9913,0.9915,0.9912,0.968,0.9913,0.9796
ada4,"temperature, humidity, humidity_ratio",0.8852,0.8856,0.888,0.8317,0.9031,0.6968,0.888,0.7583
ada5,"temperature, humidity",0.8844,0.8921,0.8898,0.8011,0.9136,0.7128,0.8898,0.7544
ada6,"temperature, light",0.9907,0.9908,0.9913,0.9915,0.9912,0.968,0.9913,0.9796
ada7,"humidity, light",0.9908,0.9909,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada8,"light, humidity_ratio",0.9908,0.9909,0.9913,0.9915,0.9912,0.968,0.9913,0.9796
ada9,"temperature, co2",0.9137,0.9135,0.9124,0.7418,0.9581,0.8257,0.9124,0.7815
ada10,"light, co2",0.991,0.9913,0.992,0.9905,0.9923,0.972,0.992,0.9811
ada11,"temperature, humidity, light, co2, humidity_ratio, weekday",0.9914,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada12,"temperature, humidity, light, co2, weekday",0.9913,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada13,"temperature, humidity, co2, humidity_ratio, weekday",0.9354,0.9346,0.9334,0.8487,0.9561,0.838,0.9334,0.8433
ada14,"temperature, humidity, light, humidity_ratio, weekday",0.9914,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada15,"temperature, humidity, humidity_ratio, weekday",0.9092,0.9108,0.9104,0.8222,0.934,0.7693,0.9104,0.7949
ada16,"temperature, humidity, weekday",0.9093,0.9113,0.911,0.8233,0.9345,0.7711,0.911,0.7963
ada17,"temperature, light, weekday",0.9914,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada18,"humidity, light, weekday",0.9914,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada19,"light, humidity_ratio, weekday",0.9914,0.9914,0.992,0.9915,0.9921,0.971,0.992,0.9812
ada20,"temperature, co2, weekday",0.9205,0.9228,0.924,0.818,0.9524,0.8215,0.924,0.8197
ada21,"light, co2, weekday",0.9916,0.9917,0.9924,0.9915,0.9926,0.973,0.9924,0.9822
